"","chi^2","df","Pr(chi^2 >)"
"Oli064",93.7687074829932,66,0.0139411178551534
"Oli74400",2.00296296296296,1,0.15699206135838
"Oli107",63.3456279971432,28,0.000149645883716909
"Oli61901",102.651711924439,36,2.52971985581496e-08
"Oli101",115.333333333333,91,0.0433969161113272
"Oli160",87.243537414966,36,3.84058808355903e-06
"Oli84207",64.74,36,0.00230134005775451
"Oli119",240.294421768707,190,0.00785327164571425
"Oli131",3.85674931129477,10,0.953577941219546
"Oli216",14.5605272285813,10,0.148924506294243
"Oli127",156.198347107438,120,0.0147037452655329
"Oli076",74.3416666666667,45,0.0038441243852736
"Oli053",69.4089191232048,45,0.0112144790702209
"Oli156",76.9605555555556,91,0.853022385499639
"Oli105252",1.43080617905793,1,0.231632914702311
"Oli021",162.988378684807,136,0.0571681022148265
"Oli104572",3.23691945914168,6,0.778577173710564
"Oli963",6.17573964497041,6,0.403794508256094
"Oli144609",4.16666666666667,3,0.244020445056707
"Oli76146",1.10211181100815,3,0.776564308635385
"Oli141",27.6695857988166,45,0.980357206359349
"Oli103483",0.0108646446355817,1,0.91698396542375
