"","allele","1-D","Hexp","Evenness"
"Oli064",12,0.881915526472338,0.892803372478169,0.873115652260808
"Oli74400",6,0.470850684116597,0.476663655525444,0.676678048406831
"Oli107",10,0.80785246876859,0.817825956037338,0.787764226242819
"Oli61901",10,0.721303948576676,0.732400932400932,0.644962502927756
"Oli101",18,0.911659726353361,0.922914784703403,0.790626067613019
"Oli160",10,0.7965625,0.806645569620253,0.748231311474385
"Oli84207",8,0.682926829268293,0.691358024691358,0.678140897461792
"Oli119",21,0.931875,0.943670886075949,0.847902148859677
"Oli131",6,0.4409375,0.446518987341772,0.539889635537703
"Oli216",11,0.604375,0.612025316455696,0.511031705164308
"Oli127",18,0.80875,0.818987341772152,0.503598782838962
"Oli076",12,0.795625,0.805696202531646,0.66163504662639
"Oli053",15,0.80625,0.816455696202532,0.596359994227182
"Oli156",16,0.880999342537804,0.892440892440892,0.742492843553576
"Oli105252",4,0.523011176857331,0.52980352980353,0.83373322920805
"Oli021",18,0.916502301117686,0.928404928404928,0.842155438597684
"Oli104572",6,0.526234567901235,0.533646322378717,0.617273642071985
"Oli963",5,0.493060628195763,0.499814883376527,0.636137076230063
"Oli144609",4,0.421104536489152,0.426573426573427,0.636256777742728
"Oli76146",4,0.545806067816776,0.552544414333032,0.73395843165679
"Oli141",12,0.8075,0.817721518987342,0.715475554487918
"Oli103483",4,0.138905413444378,0.14062029509184,0.40427527256831
"mean",10.4545454545455,0.677909464450726,0.686615315328495,0.682804285716306
